                      List of relations
 Schema |               Name               | Type  |  Owner   
--------+----------------------------------+-------+----------
 public | auth_group                       | table | postgres
 public | auth_group_permissions           | table | postgres
 public | auth_permission                  | table | postgres
 public | cuenta_estadoregistro            | table | postgres
 public | cuenta_modulo                    | table | postgres
 public | cuenta_user                      | table | postgres
 public | cuenta_user_groups               | table | postgres
 public | cuenta_user_user_permissions     | table | postgres
 public | django_admin_log                 | table | postgres
 public | django_content_type              | table | postgres
 public | django_migrations                | table | postgres
 public | django_session                   | table | postgres
 public | marketing_campania               | table | postgres
 public | marketing_categoria              | table | postgres
 public | marketing_proyecto               | table | postgres
 public | token_blacklist_blacklistedtoken | table | postgres
 public | token_blacklist_outstandingtoken | table | postgres
 public | ventas_asesor                    | table | postgres
 public | ventas_cotizacion                | table | postgres
 public | ventas_cuota                     | table | postgres
 public | ventas_estadolead                | table | postgres
 public | ventas_evento                    | table | postgres
 public | ventas_historicoleadasesor       | table | postgres
 public | ventas_lead                      | table | postgres
 public | ventas_llamada                   | table | postgres
 public | ventas_objecion                  | table | postgres
 public | ventas_precio                    | table | postgres
 public | ventas_producto                  | table | postgres
 public | ventas_proyectotipoproducto      | table | postgres
 public | ventas_tipocotizacion            | table | postgres
 public | ventas_tipocuota                 | table | postgres
 public | ventas_tipoevento                | table | postgres
 public | ventas_tipoproducto              | table | postgres
 public | ventas_whatsapp                  | table | postgres
(34 rows)

                      List of relations
 Schema |               Name               | Type  |  Owner   
--------+----------------------------------+-------+----------
 public | auth_group                       | table | postgres
 public | auth_group_permissions           | table | postgres
 public | auth_permission                  | table | postgres
 public | cuenta_estadoregistro            | table | postgres
 public | cuenta_modulo                    | table | postgres
 public | cuenta_profile                   | table | postgres
 public | cuenta_user                      | table | postgres
 public | cuenta_user_groups               | table | postgres
 public | cuenta_user_user_permissions     | table | postgres
 public | django_admin_log                 | table | postgres
 public | django_content_type              | table | postgres
 public | django_migrations                | table | postgres
 public | django_session                   | table | postgres
 public | marketing_campania               | table | postgres
 public | marketing_categoria              | table | postgres
 public | marketing_proyecto               | table | postgres
 public | token_blacklist_blacklistedtoken | table | postgres
 public | token_blacklist_outstandingtoken | table | postgres
 public | ventas_asesor                    | table | postgres
 public | ventas_cotizacion                | table | postgres
 public | ventas_cuota                     | table | postgres
 public | ventas_estadolead                | table | postgres
 public | ventas_evento                    | table | postgres
 public | ventas_lead                      | table | postgres
 public | ventas_llamada                   | table | postgres
 public | ventas_objecion                  | table | postgres
 public | ventas_precio                    | table | postgres
 public | ventas_producto                  | table | postgres
 public | ventas_proyectotipoproducto      | table | postgres
 public | ventas_tipocotizacion            | table | postgres
 public | ventas_tipocuota                 | table | postgres
 public | ventas_tipoevento                | table | postgres
 public | ventas_tipoproducto              | table | postgres
 public | ventas_whatsapp                  | table | postgres
(34 rows)

